Tour_ID,country,continent,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
tour_id1hffseyw,Italy,Europe,45-64,With children,0,2,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
tour_idnacd7zag,United Kingdom,Europe,25-44,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,7,Yes,High Cost
tour_id62vz7e71,United States of America,North America,65+,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,6,6,Yes,Higher Cost
tour_idrc76tzix,Rwanda,Africa,25-44,Spouse and Children,3,1,Leisure and Holidays,Beach Tourism,"Radio, TV, Web",Independent Tour,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idn723m0n9,United States of America,North America,45-64,Alone,0,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,Yes,7,0,Yes,Higher Cost
tour_id8aylf7ba,France,Europe,25-44,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,No,No,No,No,14,7,Yes,High Cost
tour_idvcadicba,Switzerland,Europe,25-44,Spouse,1,1,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Independent Tour,No,No,No,No,No,No,No,7,0,Yes,Normal Cost
tour_idfmavssxv,Nigeria,Africa,25-44,Alone,0,1,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Independent Tour,No,No,No,No,No,No,No,4,0,Yes,Low Cost
tour_id8oqlvjwr,United Kingdom,Europe,18-24,Alone,1,0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent Tour,No,No,No,No,No,No,No,60,0,Yes,Normal Cost
tour_idy0blevrs,Australia,Australia,45-64,Spouse,1,1,Leisure and Holidays,Diving and Sport Fishing,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
